,Albuquerque,Anchorage,Baltimore,Billings,Birmingham,Charleston,Charlotte,Chicago,Detroit,Fargo,Houston,Jacksonville,Louisville,Manchester,Milwaukee,Minneapolis,Omaha,Philadelphia,Portland,Seattle,Wichita
97,0.0,49900.0,26950.0,18750.0,0.0,15500.0,695.0,0.0,40.0,25900.0,0.0,3900.0,13999.0,0.0,27150.0,20.0,95.0,7000.0,0.0,0.0,125.0
98,0.0,21000.0,32950.0,17900.0,0.0,31500.0,30.0,0.0,9500.0,14000.0,0.0,32995.0,12500.0,0.0,20000.0,2000.0,160.0,34499.0,0.0,0.0,499.0
99,0.0,175.0,20.0,15400.0,0.0,31900.0,300.0,0.0,24990.0,22500.0,0.0,29500.0,19500.0,0.0,19900.0,20.0,16099.0,3500.0,0.0,0.0,50.0
100,0.0,36999.0,950.0,10500.0,0.0,17500.0,99977.0,0.0,75.0,13900.0,0.0,19995.0,750.0,0.0,1000.0,50.0,100.0,65.0,0.0,0.0,1.0
101,0.0,17500.0,4000.0,0.0,0.0,0.0,0.0,0.0,75.0,550.0,0.0,0.0,25950.0,0.0,56500.0,21995.0,15000.0,275.0,0.0,0.0,0.0
102,0.0,0.0,4000.0,0.0,0.0,0.0,0.0,0.0,75.0,25900.0,0.0,0.0,2500.0,0.0,42900.0,31435.0,33500.0,10999.0,0.0,0.0,0.0
103,0.0,0.0,2299.0,0.0,0.0,0.0,0.0,0.0,397.0,2800.0,0.0,0.0,24900.0,0.0,14700.0,19679.0,14000.0,4499.0,0.0,0.0,0.0
104,0.0,0.0,1099.0,0.0,0.0,0.0,0.0,0.0,2500.0,5899.0,0.0,0.0,12900.0,0.0,10900.0,66998.0,66995.0,0.0,0.0,0.0,0.0
105,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,100.0,3999.0,0.0,0.0,1000.0,0.0,0.0,59000.0,64750.0,0.0,0.0,0.0,0.0
106,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,5999.0,0.0,0.0,8500.0,0.0,0.0,200.0,49995.0,0.0,0.0,0.0,0.0
107,0.0,0.0,20000.0,0.0,0.0,0.0,0.0,0.0,0.0,49500.0,0.0,0.0,5000.0,0.0,0.0,22900.0,21995.0,0.0,0.0,0.0,0.0
108,0.0,0.0,1700.0,0.0,0.0,0.0,0.0,0.0,0.0,90000.0,0.0,0.0,28800.0,0.0,0.0,22900.0,3295.0,0.0,0.0,0.0,0.0
109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12995.0,0.0,0.0,13000.0,0.0,0.0,33599.0,7500.0,0.0,0.0,0.0,0.0
110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6277.0,0.0,0.0,500.0,0.0,0.0,80.0,16999.0,0.0,0.0,0.0,0.0
111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7299.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0
Mean,13943.19,12730.79,9802.55,19869.91,0.0,10475.6,12268.25,8870.52,9269.8,17930.47,20870.83,19436.92,16628.26,2.59,16246.14,20730.55,19565.51,11184.77,16696.93,6970.39,10378.22
Median,6000.0,290.0,1099.0,15995.0,0.0,8000.0,795.0,90.0,400.0,16195.0,0.0,1000.0,10000.0,0.0,6500.0,19556.0,17995.0,3376.0,700.0,50.0,1290.0
